id,name,logo_image,name_kana,address,station_name,ktai_coupon,large_service_area_code,large_service_area_name,service_area_code,service_area_name,large_area_code,large_area_name,middle_area_code,middle_area_name,small_area_code,small_area_name,lat,lng,genre_code,genre_name,genre_catch,sub_genre_code,sub_genre_name,budget_code,budget_name,budget_average,budget_memo,catch,capacity,access,mobile_access,urls_pc,photo_pc_l,photo_pc_m,photo_pc_s,photo_mobile_l,photo_mobile_s,open,close,party_capacity,wifi,wedding,course,free_drink,free_food,private_room,horigotatsu,tatami,card,non_smoking,charter,ktai,parking,barrier_free,other_memo,sommelier,open_air,show,equipment,karaoke,band,tv,english,pet,child,lunch,midnight,shop_detail_memo,coupon_urls_pc,coupon_urls_sp,search_keyword
TempShop_1,中華厨房 竹内,,ちゅうかちゅうぼう たけうち,大阪府大阪市北区曽根崎１−１３−１１,東梅田,1,SS20,関西,SA23,大阪,Z023,大阪,Y300,梅田,X310,お初天神,34.7007593585,135.500903885,G007,中華,小籠包　中華(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,1100円,,コロナ感染予防対策 安心・安全のお店へ,52,阪急梅田駅徒歩5分/地下鉄御堂筋線梅田駅徒歩5分,阪急梅田駅徒歩5分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_1.jpeg,,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,なし,52,未確認,,なし,なし,なし,なし,なし,なし,利用可,禁煙席なし,貸切不可,,なし ：近隣に駐車場あり,なし ：スタッフ一同全力でサポートさせていただきます。,,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業している,,,,中華厨房 竹内ちゅうかちゅうぼう たけうちチュウカチュウボウ タケウチ大阪府大阪市北区曽根崎１−１３−１１東梅田梅田小籠包　中華(架空のお店です。実在しません。)中華
TempShop_2,チャイニーズレストラン 橋本,,ちゃいにーずれすとらん はしもと,大阪府大阪市北区芝田１−４−２６,大阪,1,SS20,関西,SA23,大阪,Z023,大阪,Y300,梅田,XEI2,茶屋町・中崎町・中津,34.7059086944,135.4975148415,G007,中華,中華食房(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼680円／夜1000円,,気軽なカウンター席 ゆったりした2人席,44,阪急梅田駅徒歩2分茶屋町口出てスグ！,阪急梅田駅徒歩2分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_2.jpeg,,月、火、木～日、祝日、祝前日: 11:30～14:3017:00～23:00,水,30,なし,,あり,あり,なし,なし,なし,なし,利用不可,禁煙席なし,貸切不可,,なし,なし ：可能な限りお手伝いをさせて頂きます。,カウンター6席,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業している,,,,チャイニーズレストラン 橋本ちゃいにーずれすとらん はしもとチャイニーズレストラン ハシモト大阪府大阪市北区芝田１−４−２６大阪梅田中華食房(架空のお店です。実在しません。)中華
TempShop_3,中国料理 武田,,ちゅうごくろうり たけだ,大阪府東大阪市足代新町１−１,布施,0,SS20,関西,SA23,大阪,Z023,大阪,Y361,東大阪市・八尾市・平野・大東市,XELO,東大阪,34.6643062986,135.5617395025,G007,中華,中華料理(架空のお店です。実在しません。),G007,中華,B004,5001～7000円,6500円,お通し代（お会計の10％　※XO醤食べ放題含む）,本格中華 上質空間　個室8名まで,15,近鉄大阪線布施駅 北口 徒歩2分,近鉄大阪線布施駅 北口 徒歩2分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_3.jpeg,,月～日、祝日、祝前日: 18:00～23:00,なし,15,なし,,あり,あり ：2500円（120分飲み放題＋お会計10％＋XO醤食べ放題）,なし,なし ：個室最大8名まで,なし,なし,利用可,全面禁煙,貸切不可 ：応相談10名～15名,,なし ：近隣にコインパーキングあり,なし ：ご了承下さい,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,なし,営業していない,,,,中国料理 武田ちゅうごくろうり たけだチュウゴクロウリ タケダ大阪府東大阪市足代新町１−１布施東大阪市・八尾市・平野・大東市中華料理(架空のお店です。実在しません。)中華
TempShop_4,中国料理レストラン 前田,,ちゅうごくりょうりれすとらん まえだ,大阪府大阪市都島区東野田町１丁目１−３１,京橋,0,SS20,関西,SA23,大阪,Z023,大阪,Y310,京橋・天満・天六・南森町,X345,京橋,34.697265498,135.5330092401,G007,中華,中華(架空のお店です。実在しません。),G013,ラーメン,B001,1501～2000円,昼700円／夜1500円,,気軽に立ち寄れる ゆったり寛げる,86,京橋駅直結！！駅チカ◎寛ぎ個室×肉バル♪飲み放題付コース3500円～ご用意♪2名様～ご利用可能な個室席完備！,今日橋駅直結!絶品肉料理を堪能◎飲み放題付3500円～,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_4.jpeg,,月～日、祝日、祝前日: 11:00～22:30 （料理L.O. 22:00）,1/1～1/3はお休みします,50,あり,応相談,なし,あり,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可 ：2階のみ可能,,あり ：近くにコインパーキングがございます。,なし ：申し訳ありません。ご用意がありません。,カウンター席あり,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,あり,営業していない,,,,中国料理レストラン 前田ちゅうごくりょうりれすとらん まえだチュウゴクリョウリレストラン マエダ大阪府大阪市都島区東野田町１丁目１−３１京橋京橋・天満・天六・南森町中華(架空のお店です。実在しません。)中華
TempShop_5,中華バル 高木,,ちゅうかばる こうぼく,大阪府東大阪市小阪本町１−７−１５,河内小阪,0,SS20,関西,SA23,大阪,Z023,大阪,Y361,東大阪市・八尾市・平野・大東市,XELO,東大阪,34.6588243175,135.5812540876,G013,ラーメン,中華そば(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,600円,,広島ラーメン,24,171号線沿い、上小阪1丁目セブンイレブン近くにあります。,171号線沿い、上小阪1丁目セブンイレブン近くに有り。,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_5.jpeg,,月～土、祝日、祝前日: 11:00～22:00,日,24,なし,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり ：専用駐車場に4台までご利用頂けます。,あり ：車椅子可,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,中華バル 高木ちゅうかばる こうぼくチュウカバル コウボク大阪府東大阪市小阪本町１−７−１５河内小阪東大阪市・八尾市・平野・大東市中華そば(架空のお店です。実在しません。)ラーメン
TempShop_6,中華 近藤,,ちゅうか こんどう,大阪府八尾市東本町１−７−１１,近鉄八尾,0,SS20,関西,SA23,大阪,Z023,大阪,Y361,東大阪市・八尾市・平野・大東市,XELN,八尾,34.6265924041,135.6044087049,G007,中華,中華レストラン(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,800円(通常平均) ,お通し代：なし,こだわり餃子220円(税抜) 名物！焼めし400円(税抜),75,近鉄八尾駅から約徒歩5分。駅から南へ300m直進。,近鉄八尾駅から約徒歩5分。駅から南へ300m直進。,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_6.jpeg,,月～金: 11:30～22:30土、祝前日: 11:00～22:30日: 11:00～21:30,祝日,,なし,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり ：専用駐車場が3台ございます。,あり ：車イス可能。,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,中華 近藤ちゅうか こんどうチュウカ コンドウ大阪府八尾市東本町１−７−１１近鉄八尾東大阪市・八尾市・平野・大東市中華レストラン(架空のお店です。実在しません。)中華
TempShop_7,酒家 藤原,,しゅか ふじわら,大阪府大阪市西区新町１−２８−１,四ツ橋,0,SS20,関西,SA23,大阪,Z023,大阪,Y315,心斎橋・なんば・南船場・堀江,X370,南船場・新町,34.6777090552,135.4945332802,G007,中華,中華料理(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼700円／夜1200円,,ゆったりくつろげる座敷 カウンター席あり,80,地下鉄四ツ橋線四ツ橋駅徒歩6分/地下鉄長堀鶴見緑地線西大橋駅徒歩5分/地下鉄御堂筋線心斎橋駅徒歩10分,四ツ橋駅徒歩6分/西大橋駅徒歩5分/心斎橋駅徒歩10分  ,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_7.jpeg,,火～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,月,40,なし,,あり,なし ：コース別、男性1500円、女性1200円,なし,なし,なし,なし ：丸テーブル,利用不可,全面禁煙,貸切不可 ：2階40名席あり,,なし ：お近くのコインパーキングをご利用ください。,なし ：お気軽に店舗までご相談ください。,,,,あり,,なし,可,あり,なし,不可,お子様連れ歓迎,あり,営業していない,近隣に出前あり,,,酒家 藤原しゅか ふじわらシュカ フジワラ大阪府大阪市西区新町１−２８−１四ツ橋心斎橋・なんば・南船場・堀江中華料理(架空のお店です。実在しません。)中華
TempShop_8,中華厨房 長谷川,,ちゅうかちゅうぼう はせがわ,大阪府大阪市阿倍野区阿倍野筋１−１−３１,天王寺,0,SS20,関西,SA23,大阪,Z023,大阪,Y325,天王寺,XEIW,阿倍野,34.645774252,135.5142429078,G007,中華,中華料理(架空のお店です。実在しません。),G007,中華,B001,1501～2000円,昼～999円／夜～999円,,気の置けない仲間と 居心地のよい空間,28,地下鉄御堂筋線 天王寺駅 徒歩1分/地下鉄御堂筋線 天王寺駅 徒歩1分/地下鉄御堂筋線 天王寺駅 徒歩1分,各線 天王寺駅 徒歩1分,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_8.jpeg,,月、火、木～日、祝日、祝前日: 11:00～15:0017:00～22:00,水,28,なし,応相談,あり,なし ：コースに＋1000円で飲み放題が付けられる。詳細お店に。,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり ：近鉄百貨店併設駐車場をお使いください,あり ：車いすで入店可　車いすで入店可　※バリアフリーの詳細はお店にお問合せください,カウンター8席あります,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,中華厨房 長谷川ちゅうかちゅうぼう はせがわチュウカチュウボウ ハセガワ大阪府大阪市阿倍野区阿倍野筋１−１−３１天王寺天王寺中華料理(架空のお店です。実在しません。)中華
TempShop_9,チャイニーズレストラン 藤田,,ちゃいにーずれすとらん ふじた,大阪府大阪市中央区難波１−３−１,なんば,0,SS20,関西,SA23,大阪,Z023,大阪,Y315,心斎橋・なんば・南船場・堀江,X375,難波,34.6680641506,135.4992901332,G007,中華,中華(架空のお店です。実在しません。),G009,アジア・エスニック料理,B001,1501～2000円,昼900円／夜1000円,,カウンター席もあり 高めに区切られた座席,60,近鉄難波線 大阪難波駅 徒歩1分/阪神なんば線 大阪難波駅 徒歩1分,各線なんば駅から徒歩5分圏内,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_9.jpeg,,火～日、祝日、祝前日: 11:00～14:00 （料理L.O. 13:45 ドリンクL.O. 13:45）17:30～21:00 （料理L.O. 20:45 ドリンクL.O. 20:45）,月,60,なし,,なし,なし,なし,なし ：2つ,なし,なし ：1つ,利用不可,全面禁煙,貸切不可,,なし,なし,,,,なし,,なし,不可,なし,なし,不可,お子様連れ歓迎,なし,営業していない,,,,チャイニーズレストラン 藤田ちゃいにーずれすとらん ふじたチャイニーズレストラン フジタ大阪府大阪市中央区難波１−３−１なんば心斎橋・なんば・南船場・堀江中華(架空のお店です。実在しません。)中華
TempShop_10,中国料理 吉田,,ちゅうごくろうり よしだ,大阪府大阪市中央区難波５−１−１１,なんば,0,SS20,関西,SA23,大阪,Z023,大阪,Y315,心斎橋・なんば・南船場・堀江,X375,難波,34.6646679137,135.5011795267,G013,ラーメン,ラーメン　まぜそば　餃子　中華　本通　(架空のお店です。実在しません。),G007,中華,B011,1001～1500円,ランチ800円/ディナー1000円,,極濃豚骨魚介らーめん パリパリ羽根付き肉汁餃子,23,地下鉄御堂筋線なんば駅徒歩1分/南海本線難波駅徒歩1分/近鉄難波線大阪難波駅徒歩3分/,地下鉄御堂筋線なんば駅徒歩1分 ,,,,,https://ippin-bucket-dev.s3-ap-northeast-1.amazonaws.com/TemporaryShops/photo/mobile/l/TempShop_10.jpeg,,月～金、祝前日: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:30～翌0:00 （料理L.O. 23:40 ドリンクL.O. 23:40）土: 11:00～翌0:00 （料理L.O. 23:40 ドリンクL.O. 23:40）日、祝日: 11:00～22:00 （料理L.O. 21:40 ドリンクL.O. 21:40）,年末年始、連休時は店舗へお問い合わせください。,,あり,,なし,なし,なし,なし,なし,なし,利用不可,全面禁煙,貸切不可,,あり ：高島屋のパーキング　3000円以上お買い上げの方は2時間無料,あり ：※詳細はお問い合わせください,,,,なし,,なし,不可,なし,なし,不可,お子様連れOK,あり,営業していない,,,,中国料理 吉田ちゅうごくろうり よしだチュウゴクロウリ ヨシダ大阪府大阪市中央区難波５−１−１１なんば心斎橋・なんば・南船場・堀江ラーメン　まぜそば　餃子　中華　本通　(架空のお店です。実在しません。)ラーメン
